COD_CURSO;NOME_UNIDADE;COD_ESTRUTURADO;COD_DISCIPLINA;NOME_DISCIPLINA;PERIODO_IDEAL;CH;CH_TOTAL;TIPO_AULA;TIPO_DISCIPLINA;NUM_VERSAO;SIT_VERSAO;TOTAL_CH;TOTAL_CR;CH_TOTAL_CURSO;SIT_CURRICULO
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC314;SISTEMAS OPERACIONAIS;6;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC315;TELEPROCESSAMENTO;6;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC315;TELEPROCESSAMENTO;6;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC407;ANALISE E PROJETO DE SISTEMAS II;7;30;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC407;ANALISE E PROJETO DE SISTEMAS II;7;30;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC408;COMPILADORES;7;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC408;COMPILADORES;7;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC409;COMPUTACAO GRAFICA;7;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC409;COMPUTACAO GRAFICA;7;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC410;MICROPROCESSADORES;7;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC410;MICROPROCESSADORES;7;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC411;REDES DE COMPUTADORES;7;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC411;REDES DE COMPUTADORES;7;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC412;INTELIGENCIA ARTIFICIAL;8;15;60;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC412;INTELIGENCIA ARTIFICIAL;8;45;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC413;SISTEMAS DISTRIBUIDOS EM COMPUTACAO;8;60;60;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC414;TRABALHO DE GRADUACAO;8;150;180;Pr†tica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC414;TRABALHO DE GRADUACAO;8;30;180;Te¢rica;Obrigat¢ria;1992;INATIVO;2445;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ACG077;PRATICA EM SISTEMAS OPERACIONAIS;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ACG077;PRATICA EM SISTEMAS OPERACIONAIS;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ACG078;LINGUAG.DE PROGRAMACAO EM BAIXO NIVEL;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ACG078;LINGUAG.DE PROGRAMACAO EM BAIXO NIVEL;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ACG086;PROGRAMACAO ORIENTADA POR OBJETOS;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ACG086;PROGRAMACAO ORIENTADA POR OBJETOS;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ACG088;LINGUAGEM DE PROGRAMACAO COMERCIAL;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ACG088;LINGUAGEM DE PROGRAMACAO COMERCIAL;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ART210;INTRODUCAO A LINGUAGEM VISUAL;99;60;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CAD119;ADMINISTR.DE REC.HUMANOS I;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CAD119;ADMINISTR.DE REC.HUMANOS I;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CAD208;ADMINISTRACAO MERCADOLOGICA;99;60;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CAD216;"INTROD.A CIENCIA DA ADMINISTRACAO ""A""";99;60;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CAD310;ADMINISTRACAO;99;30;30;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CAD501;ORGANIZACAO DE EMPRESAS I;99;60;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIE103;INTRODUCAO A ECONOMIA C;99;60;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIE108;"INTRODUCAO A ECONOMIA ""D""";99;60;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIE501;FINANCAS, LEGISLACAO E CUSTOS I;99;30;30;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIE502;FINANCAS,LEGISLACAO E CUSTOS II;99;30;30;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIN118;SOCIOLOGIA DA COMUNICACAO;99;60;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIN120;SIST.INTERNACIONAIS DE COMUNICACAO I;99;45;45;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIN121;TEORIA DA COMUNICACAO I;99;60;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIN216;SISTEMAS INTERNAC.DE COMUNICACAO II;99;45;45;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIN223;PRODUCAO GRAFICA;99;30;120;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIN223;PRODUCAO GRAFICA;99;90;120;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIN224;REDACAO PUBLICITARIA;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIN224;REDACAO PUBLICITARIA;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIN225;TECNICAS DE PUBLICIDADE E PROPAGANDA;99;60;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIN360;CRIACAO E PROD.GRAFICA EM PUBLICIDADE;99;90;120;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIN360;CRIACAO E PROD.GRAFICA EM PUBLICIDADE;99;30;120;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIN451;PLANEJAMENTO PUBLICITARIO;99;60;90;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CIN451;PLANEJAMENTO PUBLICITARIO;99;30;90;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CTB101;CONTABILIDADE GERAL I;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CTB101;CONTABILIDADE GERAL I;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;CTB105;TEORIA DA CONTABILIDADE;99;60;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;EGI107;PESQUISA OPERACIONAL A;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;EGI107;PESQUISA OPERACIONAL A;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;EGI504;ENGENHARIA ECONOMICA;99;15;45;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;EGI504;ENGENHARIA ECONOMICA;99;30;45;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;EGR846;SISTEMAS DE INFORMAÄÂES GEOGRµFICAS;99;45;75;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;EGR846;SISTEMAS DE INFORMAÄÂES GEOGRµFICAS;99;30;75;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC108;METODOLOGIA DE PROGRAMACAO;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC108;METODOLOGIA DE PROGRAMACAO;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC418;SISTEMAS DE CONTROLE  I;99;15;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC418;SISTEMAS DE CONTROLE  I;99;45;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC602;PROCESSAMENTO DE SINAIS ELETRICOS;99;15;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC602;PROCESSAMENTO DE SINAIS ELETRICOS;99;45;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC605;SISTEMAS DE TELECOMUNICACOES;99;15;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC605;SISTEMAS DE TELECOMUNICACOES;99;45;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC609;METODOLOGIA DA PROGRAMACAO;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC609;METODOLOGIA DA PROGRAMACAO;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC610;INTRODUCAO AO PROCES.DE IMAGENS;99;15;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC610;INTRODUCAO AO PROCES.DE IMAGENS;99;45;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC611;TOPICOS ESP.EM COMPUTACAO GRAFICA;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC611;TOPICOS ESP.EM COMPUTACAO GRAFICA;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC612;TOP.ESPEC.ENGENHARIA DE SOFTWARE;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC612;TOP.ESPEC.ENGENHARIA DE SOFTWARE;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC613;OTIMIZACAO COMBINATORIAL - HEURISTICAS;99;60;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC614;EMPREENDEDORISMO EM INFORMATICA;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC614;EMPREENDEDORISMO EM INFORMATICA;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC615;SISTEMAS DE INFORMACAO DISTRIBUIDOS;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC615;SISTEMAS DE INFORMACAO DISTRIBUIDOS;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC616;GERENCIA DE REDES;99;30;60;Pr†tica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
307;Ciància da Computaá∆o - Bacharelado;07.39.02.00.0.0;ELC616;GERENCIA DE REDES;99;30;60;Te¢rica;Atividade Complementar;1992;INATIVO;240;133;2685;ATIVA
